Date,I_GDP,E_GDP,O_GDP,g_igdp,g_egdp,g_ogdp
1855,634.372732,691.5923739,4.081079303,,,
1856,663.0218232,719.5810992,4.263814197,0.04516129,0.040469974,0.044776119
1857,648.6972776,726.8039961,4.336908155,-0.021604938,0.010037641,0.017142857
1858,640.511823,694.3009602,4.324725829,-0.012618297,-0.044720497,-0.002808989
1859,666.0913686,749.3755488,4.458731418,0.039936102,0.079323797,0.030985915
1860,689.6245506,747.5698245,4.604919333,0.035330261,-0.002409639,0.032786885
1861,724.4127327,799.0329646,4.641466312,0.050445104,0.06884058,0.007936508
1862,742.8300056,806.2558615,4.71456027,0.025423729,0.009039548,0.015748031
1863,774.5486422,856.8161395,4.738924922,0.042699725,0.062709966,0.005167959
1864,801.1513697,903.764969,4.90947749,0.034346103,0.054794521,0.035989717
1865,831.8468244,938.9765912,5.080030058,0.038314176,0.038961039,0.034739454
1866,852.310461,979.605386,5.226217973,0.024600246,0.043269231,0.028776978
1867,837.9859154,973.2853513,5.092212384,-0.016806723,-0.006451613,-0.025641026
1868,836.9627336,974.1882134,5.2384003,-0.001221001,0.000927644,0.028708134
1869,864.5886429,982.3139723,5.201853321,0.033007335,0.008341057,-0.006976744
1870,933.1418252,1041.000009,5.518593804,0.079289941,0.059742647,0.06088993
1871,1004.764553,1090.657425,5.774422656,0.076754386,0.047701648,0.046357616
1872,1072.294554,1148.4406,5.835334287,0.067209776,0.052980132,0.010548523
1873,1146.986827,1211.640948,5.95715755,0.069656489,0.055031447,0.020876827
1874,1116.291372,1256.784053,6.127710118,-0.02676182,0.037257824,0.028629857
1875,1098.897281,1189.069395,6.212986402,-0.015582035,-0.05387931,0.013916501
1876,1081.50319,1159.274945,6.249533381,-0.015828678,-0.025056948,0.005882353
1877,1075.364099,1120.451875,6.212986402,-0.005676443,-0.033489097,-0.005847953
1878,1041.599099,1183.652222,6.322627338,-0.031398668,0.056406124,0.017647059
1879,1016.019553,1047.320044,6.091163139,-0.024557957,-0.115179252,-0.036608863
1880,1063.085917,1245.046845,6.639367821,0.04632427,0.188793103,0.09
1881,1100.943645,1180.040774,6.846467368,0.035611165,-0.052211748,0.031192661
1882,1138.801372,1201.709464,6.992655284,0.034386617,0.018362663,0.021352313
1883,1125.500008,1265.812674,7.187572504,-0.011680144,0.053343351,0.027874564
1884,1089.688645,1241.435397,7.114478546,-0.031818182,-0.019258203,-0.010169492
1885,1071.271372,1187.263671,7.00483761,-0.016901408,-0.043636364,-0.015410959
1886,1088.665463,1187.263671,7.029202262,0.016236867,0,0.003478261
1887,1130.615918,1218.863844,7.260666462,0.038533835,0.02661597,0.032928943
1888,1204.285009,1229.69819,7.589589271,0.065158371,0.008888889,0.045302013
1889,1297.394555,1284.772778,7.955059059,0.077315208,0.044787078,0.048154093
1890,1325.020465,1325.401573,8.064699996,0.021293375,0.031623331,0.013782542
1891,1305.58001,1349.77885,8.198705585,-0.014671815,0.018392371,0.016616314
1892,1265.675919,1344.361677,8.05251767,-0.030564263,-0.004013378,-0.017830609
1893,1271.81501,1313.664366,7.967241386,0.004850445,-0.022834117,-0.010590015
1894,1362.878192,1386.796196,8.296164195,0.071600965,0.055670103,0.041284404
1895,1395.62001,1395.824817,8.551993047,0.024024024,0.006510417,0.030837004
1896,1432.454556,1472.568096,8.929645162,0.026392962,0.054980595,0.044159544
1897,1484.636829,1461.733751,9.075833077,0.036428571,-0.007357449,0.016371078
1898,1569.560921,1562.854307,9.404755887,0.05720193,0.069178505,0.036241611
1899,1662.670467,1689.255002,9.62403776,0.059322034,0.080878105,0.023316062
1900,1715.875922,1735.30097,9.697131717,0.032,0.027258151,0.007594937
1901,1687.226831,1849.964457,9.843319633,-0.016696482,0.066077003,0.015075377
1902,1703.59774,1805.724214,10.03823685,0.00970285,-0.023914104,0.01980198
1903,1673.925467,1794.889869,9.892048938,-0.017417417,-0.006,-0.014563107
1904,1660.624103,1830.101491,10.05041918,-0.00794621,0.019617706,0.016009852
1905,1733.270013,1885.176079,10.44025362,0.043746149,0.030093735,0.038787879
1906,1831.495468,1905.039046,10.69608247,0.056670602,0.010536398,0.024504084
1907,1923.581833,1942.959254,10.9884583,0.05027933,0.019905213,0.027334852
1908,1824.333196,1920.387701,10.63517084,-0.051595745,-0.0116171,-0.032150776
1909,1848.889559,1951.987875,10.80572341,0.01346046,0.016455101,0.016036655
1910,1923.581833,2000.742429,10.9884583,0.04039845,0.024976873,0.016910936
1911,2007.482742,2103.668709,11.42702205,0.043617021,0.051444043,0.039911308
1912,2113.893652,2147.00609,11.74376253,0.053007136,0.020600858,0.02771855
1913,2182.446835,2283.338268,12.18232628,0.032429816,0.063498738,0.037344398
1914,2222.350926,2305.909821,,0.018284107,0.00988533,
1915,2575.348656,2873.810086,,0.158839779,0.246280345,
1916,3055.220932,3314.406795,,0.186332936,0.153314483,
1917,3852.279574,4151.359968,,0.260884126,0.252519749,
1918,4721.984126,4880.87255,,0.225763612,0.175728578,
1919,4970.61731,5262.783221,,0.052654388,0.078246393,
1920,5508.810951,5738.591552,11.87776812,0.10827501,0.090410019,
1921,4425.695798,4712.562773,10.67297062,-0.196615052,-0.17879453,-0.101432987
1922,3947.617498,4281.417536,11.34044846,-0.108023308,-0.091488487,0.062539087
1923,3731.391213,4085.706664,11.69421172,-0.054773869,-0.045711699,0.03119482
1924,3867.276539,4193.250757,12.26824266,0.0364168,0.02632203,0.049086758
1925,4007.129319,4329.860821,12.7187902,0.036163119,0.032578558,0.036724701
1926,3830.577582,4176.78004,12.30495394,-0.044059406,-0.035354665,-0.032537392
1927,4046.803867,4417.058734,13.30950808,0.056447437,0.057527256,0.081638188
1928,4032.917775,4417.058734,13.41964193,-0.003431373,0,0.008274824
1929,4141.030918,4506.194379,13.81679124,0.026807673,0.020179864,0.029594628
1930,4084.494687,4432.560586,13.69330784,-0.013652695,-0.016340572,-0.008937198
1931,3788.919307,4145.776338,13.01248044,-0.072365226,-0.064699454,-0.049719717
1932,3664.936345,4055.671828,13.06921606,-0.032722513,-0.02173405,0.004360092
1933,3744.285441,4128.336755,13.49973927,0.02165088,0.017916866,0.032941777
1934,3938.690725,4338.580613,14.33742395,0.05192053,0.050927012,0.062051916
1935,4123.177371,4533.322619,14.86473144,0.046839587,0.04488611,0.036778399
1936,4352.297885,4790.07203,15.59561968,0.05556892,0.056636033,0.049169286
1937,4667.710539,5123.361831,16.13627673,0.072470374,0.069579288,0.034667237
1938,4827.400593,5284.193538,16.24307318,0.034211645,0.031391831,0.006618407
1939,5182.487796,5684.335072,,0.073556606,0.075724239,
1940,6258.659902,6899.292662,,0.207655502,0.213737856,
1941,7457.823107,8311.898856,,0.191600634,0.204746524,
1942,8173.948693,9107.337597,,0.096023407,0.095698799,
1943,8708.563224,9693.501346,,0.065404684,0.064361702,
1944,8803.782138,9777.792662,,0.010933941,0.008695652,
1945,8596.482627,9516.198923,,-0.023546643,-0.026753864,
1946,8629.214128,9574.330865,18.76947679,0.003807546,0.006108735,
1947,9262.023165,10346.51683,18.52250999,0.073333333,0.08065169,-0.013157895
1948,10362,11514,19.2,0.118762048,0.112838281,0.036576577
1949,11184,12228,19.8,0.079328315,0.062011464,0.03125
1950,11645,12822,20.5,0.041219599,0.048577036,0.035353535
1951,13021,14430,21.2,0.118162301,0.125409453,0.034146341
1952,14223,15683,21.7,0.092312418,0.086832987,0.023584906
1953,15147,16892,23,0.064965197,0.077089843,0.059907834
1954,16090,17769,24,0.062256552,0.051918068,0.043478261
1955,17464,19348,24.9,0.085394655,0.088862626,0.0375
1956,18924,21068,25.4,0.08360055,0.088898077,0.020080321
1957,20052,22369,26,0.059606848,0.061752421,0.023622047
1958,21123,23490,26.3,0.053411131,0.050113997,0.011538462
1959,22242,24639,27.3,0.05297543,0.048914432,0.038022814
1960,24422,26322,28.9,0.098012769,0.068306344,0.058608059
1961,25916,28093,29.9,0.061174351,0.067282121,0.034602076
1962,27208,29402,30.3,0.049853372,0.046595237,0.013377926
1963,28360,31178,31.8,0.042340488,0.060404054,0.04950495
1964,30829,34079,33.5,0.087059238,0.093046379,0.053459119
1965,33277,36843,34.4,0.079405754,0.081105666,0.026865672
1966,35298,39408,34.9,0.060732638,0.069619738,0.014534884
1967,37090,41782,35.8,0.050767749,0.060241575,0.025787966
1968,40446,45915,37.8,0.09048261,0.098918194,0.055865922
1969,43883,49530,38.3,0.084977501,0.07873244,0.013227513
1970,49552,55747,39.4,0.129184422,0.125519887,0.028720627
1971,55576,62840,41.1,0.121569261,0.127235546,0.043147208
1972,63567,70245,42.7,0.143785087,0.117838956,0.03892944
1973,74347,81654,45.8,0.169584847,0.162417254,0.072599532
1974,84409,93018,45.1,0.135338346,0.139172606,-0.015283843
1975,105347,115401,44.4,0.248054117,0.240630846,-0.015521064
1976,123404,137833,45.8,0.171404976,0.194383064,0.031531532
1977,144262,159766,46.5,0.169022074,0.15912735,0.015283843
1978,167399,186103,48.3,0.160381805,0.164847339,0.038709677
1979,197326,220600,49.8,0.178776456,0.185365094,0.031055901
1980,231069,259064,48.7,0.171001287,0.174360834,-0.022088353
1981,255687,289064,48.5,0.106539605,0.115801501,-0.004106776
1982,280990,316965,49.5,0.098960839,0.096521878,0.020618557
1983,310992,348359,51.5,0.106772483,0.099045636,0.04040404
1984,334505,374604,52.5,0.075606446,0.075338946,0.019417476
1985,369187,412507,54.9,0.103681559,0.101181514,0.045714286
1986,395614,444033,56.4,0.07158161,0.07642537,0.027322404
1987,438802,492635,59.4,0.109167016,0.109455829,0.053191489
1988,491755,551709,62.7,0.120676296,0.119914338,0.055555556
1989,545219,609474,64.4,0.108720806,0.104701935,0.027113238
1990,594878,662850,65,0.091080832,0.087577157,0.00931677
1991,622104,698038,64.6,0.045767367,0.053085917,-0.006153846
1992,642384,721445,64.9,0.032599051,0.033532558,0.004643963
1993,677587,758445,66.6,0.054800555,0.051285961,0.026194145
1994,710749,797088,69,0.048941317,0.0509503,0.036036036
1995,743159,836646,70.5,0.045599783,0.049628146,0.02173913
1996,795528,892900,72.2,0.070468096,0.067237517,0.024113475
1997,833605,938855,74.3,0.047863809,0.05146713,0.029085873
1998,867963,980308,76.8,0.041216164,0.044152718,0.033647376
1999,899728,1021205,79.4,0.036597182,0.041718521,0.033854167
2000,952082,1080863,82.4,0.058188697,0.05841922,0.037783375
2001,990223,1120575,84.5,0.040060625,0.036741012,0.025485437
2002,1037446,1172652,86.3,0.047689258,0.046473462,0.021301775
2003,1101488,1242449,89.3,0.061730442,0.059520642,0.034762457
2004,1155819,1304874,91.4,0.049325095,0.050243511,0.023516237
2005,1227667,1379457,94.4,0.062161982,0.057157243,0.032822757
2006,1295972,1455644,96.7,0.055638052,0.055229703,0.024364407
2007,1362365,1530890,99.1,0.051230273,0.051692584,0.024819028
2008,1397505,1564252,98.7,0.025793381,0.021792552,-0.004036327
2009,1364510,1519459,94.3,-0.023609933,-0.028635412,-0.044579534
2010,1391905,1572439,96.3,0.020076804,0.034867673,0.021208908
2011,1431201,1628274,97.6,0.028231812,0.035508532,0.013499481
2012,1472998,1675044,98.6,0.029204144,0.028723667,0.010245902
2013,1527959,1739563,100,0.037312339,0.038517794,0.014198783
2014,1600265,1822480,103.4,0.04732195,0.047665419,0.034
2015,1645464,1869467,106,0.028244697,0.025781902,0.025145068
2016,1702416,1924091,108.7,0.034611514,0.029219023,0.025471698
